_id,chatbot_id,createdAt,event,properties.chatbot_id,properties.flowchart,properties.flowchart_name,properties.instance_id,properties.message,properties.message.data.bodyText,properties.message.data.buttonText,properties.message.data.buttonsList.button_id_1,properties.message.data.buttonsList.button_id_2,properties.message.data.buttonsList.button_id_3,properties.message.data.options,properties.message.data.options.header.mediaUrl,properties.message.data.options.header.type,properties.message.data.sections.GET,properties.message.data.sections.POST,properties.message.data.text.message,properties.message.data.text.preview_url,properties.message.type,properties.message_text,properties.properties.body.params,properties.properties.body.urlEncoded,properties.properties.headers,properties.properties.method,properties.properties.outputMapping,properties.properties.url,properties.uniq_id,uniq_id
63a44c2899fbd802a6c748b9,63a294b7e20457eac7473f25,1671711784792,new_message,63a294b7e20457eac7473f25,,,,,,,,,,,,,,,,,,Hi,,,,,,,589592,589592
63a44c2899fbd802a6c748bb,63a294b7e20457eac7473f25,1671711784794,session_start,,,,,,,,,,,,,,,,,,,,,,,,,,,589592
63a44c2899fbd802a6c748bc,63a294b7e20457eac7473f25,1671711784795,sending_message,63a294b7e20457eac7473f25,null,,,Start,,,,,,,,,,,,,,,,,,,,,589592,589592
63a44c2899fbd802a6c748c3,63a294b7e20457eac7473f25,1671711784835,message_response,63a294b7e20457eac7473f25,null,,,,,,,,,,,,,,,,,,,,,,,,589592,589592
63a44c4699fbd802a6c748c8,63a294b7e20457eac7473f25,1671711814681,new_message,63a294b7e20457eac7473f25,,,,,,,,,,,,,,,,,,Hi,,,,,,,589592,589592
63a44c4699fbd802a6c748cc,63a294b7e20457eac7473f25,1671711814686,sending_message,63a294b7e20457eac7473f25,null,,,"Sorry, I am still learning.",,,,,,,,,,,,,,,,,,,,,589592,589592
63a44c4699fbd802a6c748d0,63a294b7e20457eac7473f25,1671711814691,message_response,63a294b7e20457eac7473f25,null,,,,,,,,,,,,,,,,,,,,,,,,589592,589592
63a44c5999fbd802a6c748d2,63a294b7e20457eac7473f25,1671711833849,new_message,63a294b7e20457eac7473f25,,,,,,,,,,,,,,,,,,Bye,,,,,,,589592,589592
63a44c5999fbd802a6c748d6,63a294b7e20457eac7473f25,1671711833855,sending_message,63a294b7e20457eac7473f25,null,,,Thank you for your time.,,,,,,,,,,,,,,,,,,,,,589592,589592
63a44c5999fbd802a6c748da,63a294b7e20457eac7473f25,1671711833862,message_response,63a294b7e20457eac7473f25,null,,,,,,,,,,,,,,,,,,,,,,,,589592,589592
63a44c6199fbd802a6c748df,63a294b7e20457eac7473f25,1671711841751,new_message,63a294b7e20457eac7473f25,,,,,,,,,,,,,,,,,,Hi,,,,,,,589592,589592
63a44c6199fbd802a6c748e1,63a294b7e20457eac7473f25,1671711841752,session_start,,,,,,,,,,,,,,,,,,,,,,,,,,,589592
63a44c6199fbd802a6c748f5,63a294b7e20457eac7473f25,1671711841797,sending_message,63a294b7e20457eac7473f25,StartPoint,,,,"Hi there,
Welcome to *Vahak*",,Specific service,Talk to our agent,Exit,,https://i0.wp.com/blog-wp.vahak.in/wp-content/uploads/2021/07/Vahak-The-Indian-Truck-Drivers-Choice-for-Booking-Loads.png?w=642&ssl=1,image,,,,,reply,,,,,,,,589592,589592
63a44c6199fbd802a6c748f9,63a294b7e20457eac7473f25,1671711841803,message_response,63a294b7e20457eac7473f25,StartPoint,,,,,,,,,,,,,,,,,,,,,,,,589592,589592
